no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
2,Not Graduate,Yes,6250910,3920943,6,579,5244175,4992451,Male,Divorced,23,Govt Job,19,0,3812034,Semi-Urban,0.63,0
0,Graduate,No,4068860,8675491,120,836,4065198,396941,Female,Single,46,Salaried,29,0,4705906,Semi-Urban,2.13,1
4,Graduate,Yes,7805541,12415939,12,742,4102205,3941830,Male,Married,37,Student,7,1,1848686,Urban,1.59,0
0,Not Graduate,Yes,1850031,8554179,24,693,8552725,21611,Male,Married,52,Govt Job,16,0,4049402,Urban,4.62,0
4,Not Graduate,No,9497128,7568634,24,737,554376,473208,Male,Divorced,56,Business,21,0,9164522,Rural,0.8,1
2,Graduate,No,9618969,5845729,12,702,2500530,2480405,Female,Single,64,Govt Job,11,0,2623652,Rural,0.61,1
3,Graduate,Yes,7997518,1674049,240,850,111391,4456803,Male,Single,46,Salaried,9,0,4037211,Rural,0.21,1
3,Graduate,No,5431353,2182538,12,877,9087838,2270623,Male,Married,55,Business,14,0,1493966,Urban,0.4,1
4,Graduate,No,1707911,6586946,36,576,7407230,2643329,Female,Single,42,Student,13,1,3661670,Urban,3.86,0
1,Not Graduate,Yes,5017458,13233245,24,725,3860278,4602978,Male,Single,39,Business,6,0,498602,Semi-Urban,2.64,0
2,Graduate,No,6032472,1518207,36,814,3883781,3412633,Male,Divorced,49,Business,29,0,2287252,Urban,0.25,1
0,Graduate,No,7743124,5685220,240,419,8930642,4675202,Female,Single,41,Student,24,1,2044472,Urban,0.73,0
4,Graduate,Yes,3591536,7945821,24,638,5923531,4518814,Male,Married,33,Govt Job,28,0,323534,Rural,2.21,0
0,Graduate,Yes,9640091,464780,180,312,3584490,3562989,Male,Single,48,Salaried,4,0,4861525,Semi-Urban,0.05,0
3,Graduate,No,4850951,2090124,240,622,7137197,852301,Female,Divorced,27,Student,9,0,3763081,Rural,0.43,0
3,Not Graduate,No,4982519,9941455,120,826,1457698,3393190,Female,Married,52,Business,29,0,4802703,Semi-Urban,2.0,1
2,Not Graduate,Yes,8318514,12850317,12,714,4867191,1720939,Female,Single,46,Business,5,0,256023,Rural,1.54,1
1,Graduate,No,5273995,12901631,36,455,2269186,3502750,Male,Single,37,Student,17,0,3988630,Urban,2.45,0
2,Graduate,Yes,4290491,16345947,36,656,251399,1002193,Male,Married,25,Govt Job,7,1,1106005,Rural,3.81,0
2,Not Graduate,Yes,2717847,10026452,6,736,9294676,42787,Female,Married,45,Salaried,11,1,834488,Urban,3.69,0
4,Graduate,No,4428226,7168765,60,318,2192020,2017851,Male,Divorced,29,Govt Job,9,1,420122,Rural,1.62,0
1,Not Graduate,Yes,9107521,17301793,24,658,1597929,3716296,Female,Married,48,Govt Job,24,1,1930,Urban,1.9,0
0,Graduate,Yes,3483419,7955212,12,653,2197531,3543433,Female,Married,34,Salaried,7,1,3216691,Rural,2.28,0
0,Not Graduate,No,3227009,520114,120,846,1767405,2404573,Male,Divorced,34,Business,29,0,3558239,Semi-Urban,0.16,1
2,Not Graduate,No,7109062,14407978,180,324,5126313,4137886,Female,Divorced,31,Student,17,1,4512826,Urban,2.03,0
3,Graduate,No,7836703,2312179,240,658,5253895,4331160,Female,Divorced,32,Student,25,1,4145972,Semi-Urban,0.3,0
1,Graduate,No,8795234,1752091,60,739,4307535,1862341,Female,Married,54,Retired,6,0,3507327,Urban,0.2,0
1,Graduate,No,5676594,5056163,24,597,7991237,1499444,Male,Divorced,34,Salaried,19,0,2076899,Rural,0.89,0
3,Graduate,No,8983575,11866882,120,892,4722374,3573649,Male,Married,33,Business,17,0,5033557,Urban,1.32,1
4,Not Graduate,No,5612834,14193929,6,735,8704016,2311452,Male,Divorced,29,Business,13,0,6787723,Rural,2.53,1
0,Not Graduate,Yes,2757506,685028,240,414,4096955,3029418,Female,Divorced,50,Govt Job,28,1,3524517,Urban,0.25,0
1,Not Graduate,No,577498,8096301,60,593,1960008,96371,Male,Divorced,49,Retired,2,1,3187808,Rural,14.02,0
2,Not Graduate,No,2585383,7550523,12,618,4355108,746409,Female,Married,25,Business,21,0,1539645,Semi-Urban,2.92,0
2,Graduate,Yes,428564,16128687,24,767,7548169,1919075,Female,Divorced,37,Salaried,27,0,7498917,Rural,37.63,1
2,Graduate,Yes,4160753,13701066,120,583,1351929,4807518,Male,Married,52,Salaried,22,1,770668,Semi-Urban,3.29,0
2,Not Graduate,Yes,7356166,13358664,12,704,9638385,1261357,Female,Married,54,Business,22,0,9238496,Semi-Urban,1.82,1
1,Graduate,Yes,4098786,13084639,6,356,6574358,563416,Female,Divorced,60,Business,0,1,890957,Rural,3.19,0
2,Not Graduate,No,8907917,18510514,6,312,6647957,2386718,Male,Married,28,Salaried,24,0,3263110,Urban,2.08,0
2,Not Graduate,Yes,4591540,4693691,120,348,2159516,2566423,Female,Single,59,Retired,17,1,373460,Semi-Urban,1.02,0
0,Graduate,No,8079564,3570684,6,474,944352,1853714,Male,Single,63,Retired,13,0,3542995,Semi-Urban,0.44,0
3,Graduate,No,8077366,19972212,36,885,7669194,180703,Male,Single,24,Business,20,0,5827576,Rural,2.47,1
4,Graduate,Yes,6809992,13527851,60,579,7778986,4025989,Male,Married,29,Govt Job,25,0,3468992,Semi-Urban,1.99,0
1,Graduate,No,4688721,2050636,180,847,715625,3874324,Male,Divorced,42,Govt Job,9,0,6334090,Semi-Urban,0.44,1
3,Not Graduate,No,245484,10965122,12,627,5944620,2196689,Male,Divorced,54,Retired,9,0,4426727,Urban,44.67,0
4,Graduate,Yes,679701,6446645,60,408,7681846,4057140,Female,Single,30,Govt Job,9,0,496398,Urban,9.48,0
2,Not Graduate,Yes,3530484,9707045,60,659,1830993,4252981,Male,Married,48,Business,2,0,3105261,Semi-Urban,2.75,0
1,Graduate,No,1548385,16058851,36,822,3359224,370572,Female,Single,33,Salaried,8,0,6951461,Rural,10.37,1
4,Not Graduate,No,5142619,6524022,60,622,4838398,370970,Male,Married,34,Student,1,0,3612423,Urban,1.27,0
1,Not Graduate,Yes,5860284,10126735,240,549,3583087,1066365,Male,Married,60,Salaried,19,0,3543236,Semi-Urban,1.73,0
1,Not Graduate,No,5258652,1514861,180,440,9101037,2437752,Male,Divorced,59,Govt Job,22,0,1253764,Urban,0.29,0
4,Graduate,No,288504,4818699,120,614,5802124,4950531,Female,Single,34,Business,9,0,3250768,Urban,16.7,1
1,Graduate,Yes,6351392,17045440,36,669,4774861,1824357,Female,Single,27,Retired,22,0,4050877,Semi-Urban,2.68,0
1,Not Graduate,Yes,5937197,3018103,180,675,8639488,2846792,Male,Single,29,Govt Job,20,0,6808921,Rural,0.51,1
4,Graduate,Yes,7484059,5310702,24,728,8923267,3098874,Female,Divorced,52,Govt Job,15,0,8439767,Urban,0.71,1
1,Not Graduate,No,5207915,5133381,180,421,7608876,3514043,Female,Married,32,Retired,12,0,3391651,Rural,0.99,0
2,Not Graduate,Yes,6613690,2401583,180,503,7325104,3757323,Male,Divorced,31,Retired,0,0,4672661,Semi-Urban,0.36,0
3,Not Graduate,Yes,4059225,4660556,240,876,7168250,884643,Female,Single,23,Salaried,11,0,2592357,Rural,1.15,1
0,Graduate,No,7810513,13425976,180,822,7520528,4127035,Female,Single,25,Salaried,11,0,8063757,Urban,1.72,1
3,Not Graduate,Yes,2529510,7011199,6,605,630483,3098680,Male,Divorced,62,Business,25,0,3412954,Urban,2.77,1
2,Not Graduate,Yes,1650628,16340758,6,559,1276319,4086134,Male,Single,60,Student,26,0,599240,Rural,9.9,0
4,Not Graduate,Yes,4956057,14806747,120,478,503288,1738470,Male,Single,43,Business,28,1,2723026,Rural,2.99,0
1,Graduate,Yes,7259309,13755159,6,663,1344588,829455,Male,Divorced,62,Business,8,0,2604338,Rural,1.89,0
2,Not Graduate,Yes,4000827,8583718,36,534,3984936,4303982,Female,Divorced,32,Business,27,1,1802124,Urban,2.15,0
1,Graduate,No,6716825,1178176,36,745,8746627,2136258,Male,Single,21,Business,1,0,8560039,Urban,0.18,1
3,Not Graduate,Yes,4894297,14862788,12,669,5548692,1994131,Female,Divorced,57,Salaried,29,0,4173722,Semi-Urban,3.04,1
3,Graduate,No,5885378,3219241,24,762,9089123,2627926,Male,Married,44,Govt Job,9,0,2525238,Urban,0.55,1
3,Graduate,Yes,9297987,1601792,36,687,7089463,1456568,Male,Single,56,Business,11,0,2447893,Semi-Urban,0.17,0
3,Graduate,Yes,5359742,3110012,60,708,3654051,3581844,Male,Married,28,Salaried,6,0,1877518,Semi-Urban,0.58,1
3,Not Graduate,Yes,762365,10926179,180,656,8372986,1842816,Female,Single,23,Business,20,1,783093,Semi-Urban,14.33,0
0,Graduate,Yes,5113997,13527699,120,358,5529021,1673759,Female,Married,48,Business,13,0,2679678,Urban,2.65,0
2,Not Graduate,Yes,8267704,9226426,180,659,1429076,3343998,Male,Divorced,24,Salaried,27,0,3116517,Urban,1.12,0
2,Not Graduate,Yes,5059294,6313467,60,747,207035,1673659,Female,Single,45,Student,11,0,4709563,Urban,1.25,0
1,Not Graduate,No,5938134,5202719,36,866,2763571,4665903,Female,Single,39,Business,1,0,1317766,Semi-Urban,0.88,1
1,Graduate,Yes,2182329,3796227,180,794,8649720,3873144,Male,Married,64,Salaried,4,0,6125114,Semi-Urban,1.74,1
4,Not Graduate,No,6960595,8869721,12,800,8847613,1348219,Male,Divorced,53,Govt Job,13,0,5627882,Rural,1.27,1
1,Not Graduate,No,7860547,4558263,36,458,7687992,1210519,Male,Divorced,34,Student,19,0,4117821,Rural,0.58,0
2,Not Graduate,Yes,5891473,4033923,60,760,1623513,2990462,Male,Married,36,Salaried,18,0,543011,Rural,0.68,1
4,Not Graduate,No,4134943,18530499,36,633,2859376,4639542,Female,Married,26,Business,13,1,379568,Semi-Urban,4.48,0
0,Not Graduate,No,6391039,2973008,36,554,4814558,311296,Female,Married,32,Business,28,0,982082,Rural,0.47,0
1,Not Graduate,Yes,3326098,973956,60,625,2426557,4490504,Female,Divorced,64,Govt Job,17,0,8967031,Rural,0.29,1
0,Graduate,No,9113109,11575762,60,471,3533126,1898056,Female,Single,53,Salaried,28,0,1893331,Semi-Urban,1.27,0
3,Not Graduate,No,1365416,7031451,12,518,672489,2429066,Female,Married,51,Retired,25,0,4839132,Urban,5.15,0
2,Graduate,No,1310336,17151953,24,340,7616227,4237130,Female,Married,33,Student,2,1,1672637,Rural,13.09,0
3,Not Graduate,Yes,2783722,14601502,36,552,842073,610499,Male,Divorced,28,Govt Job,27,0,4770183,Semi-Urban,5.25,0
3,Not Graduate,Yes,5510990,17173466,120,499,5198370,1942028,Female,Married,64,Govt Job,20,0,1904196,Urban,3.12,0
4,Graduate,Yes,5869807,16253681,120,735,2272663,3393436,Female,Divorced,45,Govt Job,28,0,4960773,Urban,2.77,1
0,Not Graduate,No,4857178,19870250,240,549,5253988,2455733,Male,Married,60,Student,5,1,3310287,Semi-Urban,4.09,0
4,Graduate,Yes,2420240,4277391,180,620,7590747,2405749,Female,Single,38,Business,6,0,3445443,Urban,1.77,1
1,Not Graduate,No,759818,4492441,6,836,1424533,1612015,Female,Divorced,35,Business,6,0,219955,Urban,5.91,1
0,Graduate,Yes,2770279,925660,6,300,1453249,1334069,Female,Single,44,Govt Job,3,1,2494611,Semi-Urban,0.33,0
2,Graduate,Yes,9543752,12150938,120,636,6611105,979319,Male,Divorced,39,Business,29,0,8419430,Rural,1.27,1
0,Not Graduate,No,5114081,12480533,120,708,8046267,1896070,Female,Married,60,Govt Job,18,0,3589641,Rural,2.44,1
3,Graduate,Yes,5256558,3756495,12,637,9288498,2454593,Female,Single,31,Govt Job,2,1,1015776,Urban,0.71,0
3,Not Graduate,No,4814566,16866347,180,520,2492329,4372013,Female,Divorced,26,Student,25,1,3864511,Semi-Urban,3.5,0
1,Graduate,No,3140343,8187673,6,518,7826133,2417575,Female,Married,47,Salaried,25,1,4652121,Rural,2.61,0
0,Graduate,No,8342206,12642985,120,715,2959095,4398561,Female,Divorced,31,Salaried,24,0,1336813,Semi-Urban,1.52,1
4,Graduate,No,1534382,12837135,180,611,827457,4590902,Male,Single,49,Govt Job,26,1,1877077,Rural,8.37,0
4,Not Graduate,No,4030288,14796921,24,600,9048071,1733420,Male,Divorced,26,Business,12,0,5020441,Rural,3.67,1
3,Graduate,Yes,1713150,1818459,120,697,561252,2539198,Female,Married,21,Salaried,23,0,7954582,Rural,1.06,1
1,Not Graduate,No,5025885,18534408,36,697,4654118,4390998,Female,Single,25,Business,4,0,4989315,Urban,3.69,0
2,Graduate,Yes,5184143,19259239,60,636,8644081,4051762,Female,Divorced,27,Govt Job,5,0,1297924,Semi-Urban,3.72,0
3,Not Graduate,Yes,8186509,9328963,6,614,2317147,909277,Female,Married,49,Business,15,1,3420206,Semi-Urban,1.14,0
1,Not Graduate,Yes,9453281,4725380,6,822,4129030,3410768,Female,Divorced,51,Salaried,25,0,687506,Semi-Urban,0.5,1
0,Not Graduate,No,8433674,18549780,60,525,1436557,459828,Male,Divorced,42,Retired,18,1,2518701,Rural,2.2,0
1,Not Graduate,No,5715337,4882583,12,853,5217515,4587407,Male,Single,24,Govt Job,25,0,3190296,Semi-Urban,0.85,1
0,Graduate,No,2884397,8655135,12,842,7723732,4656126,Female,Single,31,Govt Job,11,0,9740682,Rural,3.0,1
3,Graduate,No,872042,19654796,6,612,4883658,888066,Female,Married,26,Govt Job,8,0,4180106,Semi-Urban,22.54,1
0,Graduate,No,9203297,7038402,120,640,4878756,1829391,Male,Single,31,Business,20,0,2750961,Semi-Urban,0.76,1
3,Graduate,No,4866303,5815863,240,808,8726049,2018634,Male,Single,26,Govt Job,2,0,6622573,Urban,1.2,1
2,Not Graduate,No,359294,5662550,24,765,8566530,4526025,Male,Single,55,Business,15,0,3692316,Urban,15.76,1
2,Graduate,No,5670286,4162051,12,789,3188720,2056935,Male,Married,63,Govt Job,4,0,528471,Urban,0.73,1
1,Graduate,No,8833042,7842969,60,786,6906878,4001877,Female,Married,43,Business,3,0,6896036,Urban,0.89,1
4,Graduate,Yes,4838897,6435238,120,832,799133,4754801,Male,Single,44,Govt Job,6,0,1327468,Rural,1.33,1
1,Not Graduate,Yes,7002965,1428017,240,667,3200589,443800,Male,Single,39,Govt Job,4,0,5839238,Rural,0.2,1
4,Not Graduate,Yes,7296419,13379770,36,594,9436614,4836455,Female,Divorced,37,Student,20,1,3769102,Urban,1.83,0
4,Graduate,No,2977615,2181081,12,672,4201617,654848,Male,Divorced,56,Retired,7,0,2486668,Rural,0.73,0
4,Graduate,No,2006866,13233941,24,670,2295919,2610945,Male,Married,60,Salaried,2,0,1592371,Urban,6.59,1
2,Graduate,Yes,6267552,8817691,12,368,1178388,4435128,Male,Married,25,Business,22,0,1156883,Urban,1.41,0
2,Graduate,No,1450930,14618301,12,763,891464,3632745,Male,Married,56,Govt Job,11,0,2198251,Rural,10.08,1
0,Not Graduate,Yes,209803,14536314,60,738,1688697,1707279,Female,Single,27,Retired,0,0,1891512,Rural,69.29,0
1,Graduate,No,9502370,11777273,6,552,7899581,641898,Male,Married,47,Retired,15,1,92742,Rural,1.24,0
3,Graduate,Yes,3540893,18405620,12,717,7369431,4463118,Male,Single,53,Govt Job,9,0,6576922,Semi-Urban,5.2,1
1,Graduate,Yes,5062600,11601240,12,731,183550,1956160,Female,Married,29,Govt Job,23,0,3099226,Rural,2.29,1
2,Not Graduate,Yes,8054689,816183,6,312,9806961,1117118,Male,Single,25,Student,8,1,4535777,Urban,0.1,0
0,Graduate,No,8218472,592764,120,498,548091,751703,Male,Single,32,Business,22,0,1014087,Urban,0.07,0
2,Not Graduate,Yes,8555341,1584687,120,645,8675609,2927378,Female,Single,36,Retired,9,0,2615515,Semi-Urban,0.19,0
2,Graduate,Yes,9325755,13358386,36,339,1867586,142125,Male,Single,40,Salaried,23,1,638938,Rural,1.43,0
1,Not Graduate,No,3421855,8825580,12,739,2781776,4695274,Male,Married,57,Govt Job,29,1,3397690,Rural,2.58,0
4,Not Graduate,No,4547013,4873119,180,780,284436,3871478,Male,Divorced,63,Salaried,16,0,3752340,Rural,1.07,1
3,Graduate,Yes,6441102,4050718,180,723,2447357,791469,Male,Single,22,Govt Job,3,0,4406519,Rural,0.63,1
1,Graduate,Yes,8422705,17027048,180,813,3072625,1003925,Male,Divorced,26,Govt Job,15,0,7976555,Rural,2.02,1
2,Graduate,Yes,6523297,18478896,6,340,5503533,4551146,Female,Married,22,Govt Job,3,0,4402812,Urban,2.83,0
3,Not Graduate,Yes,8556048,15900270,6,448,8061314,3602008,Female,Divorced,51,Salaried,14,0,3431183,Urban,1.86,0
1,Graduate,Yes,7834546,12879939,120,410,1836347,3806732,Female,Married,51,Salaried,26,1,792735,Urban,1.64,0
1,Not Graduate,Yes,4356357,5337843,24,690,9681473,3035464,Female,Married,33,Govt Job,23,0,3472759,Semi-Urban,1.23,1
1,Not Graduate,No,9941329,5543825,240,730,2261401,3362772,Male,Single,39,Govt Job,26,0,746330,Rural,0.56,1
4,Graduate,No,5772095,6425921,6,602,6696038,1950473,Male,Married,35,Salaried,16,0,1471512,Semi-Urban,1.11,1
1,Graduate,Yes,5428559,4843268,36,878,2831374,3240957,Male,Single,58,Salaried,29,0,6595564,Urban,0.89,1
1,Graduate,No,806852,4380820,24,893,5750054,2573463,Male,Single,36,Govt Job,29,0,7798654,Urban,5.43,1
2,Not Graduate,Yes,5934855,18913529,120,533,6285060,3881994,Female,Single,37,Salaried,17,0,3145121,Rural,3.19,0
3,Not Graduate,Yes,3368601,16439312,36,680,2414167,1452426,Male,Single,41,Student,17,1,3706570,Rural,4.88,0
0,Not Graduate,Yes,8005763,13564895,36,763,7375163,2261107,Male,Single,57,Govt Job,12,0,1284433,Urban,1.69,1
2,Graduate,Yes,9336042,17910125,36,861,3662431,3816732,Female,Single,62,Business,7,0,8093597,Urban,1.92,1
0,Graduate,Yes,2786929,7833140,180,337,1329039,399351,Female,Divorced,53,Student,9,0,824994,Urban,2.81,0
0,Not Graduate,Yes,3743139,17740136,60,744,8775924,1164641,Male,Married,37,Salaried,9,0,7436570,Rural,4.74,1
1,Graduate,No,1863844,598350,36,686,2422564,4027905,Male,Divorced,56,Salaried,21,0,4092463,Rural,0.32,1
2,Graduate,No,3238619,9543100,12,387,4472643,1796379,Female,Single,47,Business,1,1,3575751,Semi-Urban,2.95,0
3,Not Graduate,Yes,3411130,1279411,12,691,7721625,3257300,Male,Divorced,35,Business,13,0,6513054,Semi-Urban,0.38,1
2,Graduate,No,6355202,8436526,240,498,5975608,2411935,Male,Married,43,Student,29,0,4014830,Semi-Urban,1.33,0
1,Not Graduate,No,9477064,11789582,120,693,4725972,2449761,Male,Single,38,Business,13,0,5451384,Rural,1.24,1
3,Graduate,No,2730372,4124043,36,896,5201565,112513,Female,Married,24,Govt Job,17,0,8575528,Rural,1.51,1
3,Not Graduate,Yes,5508441,11242595,120,601,2546597,121659,Female,Divorced,55,Govt Job,11,0,7169453,Rural,2.04,1
1,Graduate,No,6623622,7382972,240,379,3706712,4720627,Female,Single,47,Salaried,27,1,273564,Urban,1.11,0
3,Graduate,No,9143273,9394745,6,722,1883203,471478,Male,Divorced,23,Salaried,25,0,1983554,Urban,1.03,1
1,Not Graduate,Yes,5313148,5113733,240,853,4227345,1322664,Female,Divorced,56,Business,23,0,4925845,Semi-Urban,0.96,1
1,Not Graduate,Yes,5811240,10961485,180,789,4060925,4045131,Male,Divorced,45,Salaried,21,0,951053,Urban,1.89,1
1,Graduate,No,2302877,16687147,240,771,6716400,709331,Female,Divorced,58,Salaried,22,0,8578942,Rural,7.25,1
1,Graduate,Yes,5237088,13188005,240,441,470492,3302069,Male,Married,42,Student,25,1,1874780,Urban,2.52,0
4,Not Graduate,Yes,790788,4194236,12,312,1482537,228822,Female,Single,30,Student,11,0,208829,Urban,5.3,0
3,Graduate,Yes,5897296,2838322,120,724,6575898,801738,Male,Divorced,30,Salaried,1,0,5670914,Rural,0.48,1
0,Not Graduate,No,5560211,8165738,36,743,1730052,2394434,Female,Married,34,Business,29,0,4034520,Rural,1.47,1
2,Graduate,No,2903053,18602960,6,699,7005254,3631686,Female,Divorced,62,Business,24,0,8555774,Semi-Urban,6.41,1
2,Not Graduate,No,9316383,9744723,36,497,3730105,2709842,Female,Married,28,Govt Job,11,1,241771,Rural,1.05,0
0,Graduate,No,8020307,1209212,120,364,8631501,3372636,Female,Single,47,Business,1,1,1601255,Semi-Urban,0.15,0
3,Graduate,No,8341195,985137,60,487,1193875,3954849,Male,Single,50,Retired,21,1,3836831,Urban,0.12,0
3,Not Graduate,No,5888039,15690083,6,804,7539693,430257,Female,Single,52,Salaried,8,0,8443581,Semi-Urban,2.66,1
0,Graduate,No,3479184,1143968,60,530,8121655,3140594,Female,Divorced,51,Student,29,1,327926,Rural,0.33,0
3,Graduate,No,5106018,10853926,12,851,6185664,2371627,Male,Single,23,Business,12,0,6506258,Semi-Urban,2.13,1
2,Not Graduate,Yes,1673114,11794735,36,331,6060785,3700429,Female,Single,25,Govt Job,16,1,2190975,Rural,7.05,0
4,Graduate,No,5581291,11325580,180,724,530572,629820,Female,Divorced,44,Govt Job,28,0,2553264,Rural,2.03,0
3,Not Graduate,Yes,5000146,12304050,180,319,8638449,3852272,Male,Divorced,52,Salaried,17,0,1493010,Rural,2.46,0
1,Graduate,Yes,3263867,14381094,12,708,784634,4264414,Male,Divorced,39,Govt Job,21,0,8764832,Rural,4.41,1
4,Graduate,No,5012140,15116588,6,621,2445079,1214782,Female,Married,27,Student,23,0,1529549,Rural,3.02,0
0,Not Graduate,Yes,5010915,7340273,24,887,5440526,1721110,Male,Divorced,35,Salaried,16,0,3358756,Rural,1.46,1
1,Not Graduate,No,9265077,11483608,180,752,7303498,2448569,Female,Single,50,Salaried,20,0,2535273,Rural,1.24,1
3,Not Graduate,Yes,505317,10309436,24,325,2053371,1960551,Female,Divorced,61,Student,0,0,807681,Semi-Urban,20.4,0
4,Graduate,Yes,9621202,14436299,36,894,1993437,862294,Female,Married,32,Salaried,20,0,8393872,Rural,1.5,1
4,Graduate,Yes,5024003,13882443,36,635,3122696,2627367,Male,Married,24,Salaried,25,0,545448,Semi-Urban,2.76,1
2,Graduate,Yes,6267242,8831762,36,639,2706824,2487008,Male,Divorced,53,Business,9,0,4712265,Semi-Urban,1.41,1
2,Graduate,Yes,6040863,2259078,12,684,1152120,4312340,Female,Single,50,Student,23,0,2581243,Rural,0.37,0
1,Graduate,Yes,4387322,16269321,240,808,2470010,1874374,Female,Divorced,32,Salaried,10,0,3270489,Rural,3.71,1
4,Graduate,No,4080289,11526537,6,563,2699497,4733394,Female,Married,35,Govt Job,0,1,3125496,Rural,2.82,0
0,Graduate,Yes,6700713,1071738,60,847,9729046,1205813,Female,Single,46,Govt Job,18,0,149199,Rural,0.16,1
0,Graduate,Yes,9348786,11808079,24,622,9445002,618753,Male,Divorced,37,Business,20,0,8920320,Rural,1.26,1
0,Graduate,No,5700316,1797980,24,669,2883325,4798178,Male,Divorced,55,Govt Job,17,0,225053,Rural,0.32,1
0,Not Graduate,No,6477903,1883175,60,345,8987140,4900024,Female,Married,56,Govt Job,11,0,3665717,Urban,0.29,0
3,Not Graduate,Yes,991759,16854483,6,513,5681380,2836544,Female,Divorced,29,Retired,5,1,1843862,Rural,16.99,0
3,Not Graduate,Yes,3352798,3053725,6,896,5407354,375864,Male,Divorced,58,Salaried,2,0,2263884,Rural,0.91,1
3,Graduate,No,5845296,6547149,120,581,9083693,3580195,Female,Married,29,Student,15,0,3857765,Urban,1.12,0
0,Graduate,No,8953980,5864105,60,696,1702093,890949,Female,Single,39,Salaried,15,0,2738631,Urban,0.65,1
0,Graduate,Yes,8312678,6106484,36,464,4950008,2932383,Male,Single,21,Salaried,16,0,806249,Rural,0.73,0
4,Not Graduate,No,7253138,16556751,60,666,7357972,1968107,Female,Married,59,Govt Job,14,0,338932,Urban,2.28,1
4,Not Graduate,Yes,1322421,237343,36,733,5244177,2270202,Female,Divorced,50,Student,23,1,2637139,Rural,0.18,0
1,Graduate,No,6240416,426426,180,796,6915850,3705193,Female,Divorced,61,Business,1,0,8759049,Semi-Urban,0.07,1
1,Graduate,No,2678468,5143360,12,697,3951060,1853295,Male,Divorced,24,Retired,7,1,1668995,Rural,1.92,0
0,Graduate,Yes,2040534,16570474,60,611,5110720,3791177,Male,Married,22,Salaried,27,0,2822758,Rural,8.12,1
0,Graduate,No,7831734,10734594,36,825,3649922,3352622,Female,Divorced,60,Govt Job,23,0,9683464,Rural,1.37,1
1,Not Graduate,Yes,2220758,726029,120,399,9527564,3892537,Female,Divorced,41,Student,1,0,3015233,Rural,0.33,0
0,Not Graduate,No,7848593,4881168,120,727,1662807,92159,Male,Divorced,45,Business,3,1,2166057,Semi-Urban,0.62,0
0,Graduate,Yes,7867549,16125989,120,684,5835393,1854551,Female,Single,32,Salaried,7,0,1384035,Rural,2.05,1
2,Graduate,Yes,8718090,4788063,120,808,2757388,1038529,Female,Single,21,Govt Job,4,0,403704,Rural,0.55,1
2,Graduate,No,1861969,14690261,24,681,7305309,982102,Male,Divorced,29,Business,15,0,1033630,Urban,7.89,0
4,Not Graduate,Yes,3303177,1829066,180,602,1241405,4714961,Male,Married,42,Govt Job,12,0,7013840,Urban,0.55,1
2,Graduate,No,4210501,11925653,6,655,8300054,841673,Female,Divorced,62,Salaried,28,0,5861217,Urban,2.83,1
0,Not Graduate,No,1440708,7289376,36,861,1025630,1484297,Female,Married,36,Business,7,0,5377913,Urban,5.06,1
1,Graduate,No,2370624,19183032,60,394,6824017,231396,Female,Divorced,36,Salaried,16,1,445451,Semi-Urban,8.09,0
